word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
芳醇,6593,2494,0.020434286706090925,0.03605817887401325,0.5679195029317882,1.7645920013085286
自然,2771,1046,0.00858841323564052,0.015123037330480293,0.5658052355669958,1.7608651232246422
クリア,3768,1422,0.011678506341354557,0.020559234305872826,0.5655601104720387,1.7604335438917285
ゲット,1939,729,0.006009719691052677,0.010539860625162652,0.5617862125711125,1.753802367996379
新しい,1897,709,0.005879545257311464,0.010250701211577944,0.5558666924022195,1.7434513662142088
奇麗,16860,6297,0.05225573697325845,0.0910418413671457,0.5551695127380022,1.742236290988218
ガス,11384,4240,0.03528347032642789,0.06130179567995836,0.5523945442614212,1.737408342003205
テースト,4155,1542,0.01287797076654145,0.022294190787381082,0.5488079826388322,1.7311881810839427
ジューシー,10165,3760,0.03150531235665315,0.05436196975392534,0.5455086461265993,1.7254858208839634
パイン,1898,702,0.005882644648591017,0.010149495416823294,0.5454175606610439,1.7253286613622416
暑い,2527,927,0.007832161763429662,0.013402538819651274,0.5372055939827671,1.7112183359428437
上品,8097,2958,0.02509577119053818,0.042766677269178495,0.5330598773897367,1.7041387947186397
レビュー,7511,2741,0.023279527900720298,0.0396292976317844,0.5319943404218802,1.7023239389042002
箇月,2157,787,0.006685386989995165,0.01137842292455831,0.5317947378333531,1.7019841845485357
みたい,8622,3132,0.026722951612303345,0.04528236416736547,0.5273948376087197,1.6945120742769035
表現,2698,979,0.008362157672233174,0.014154353294971517,0.5263057415679151,1.692667592476942
印象,16133,5843,0.05000247951302364,0.08447792267877281,0.5244176356933993,1.6894746720864053
味わい,46158,16691,0.14306170268159332,0.24131798860711912,0.5228394940965341,1.6868105445676882
販売,3248,1161,0.010066822875987156,0.01678570395859237,0.511282416221429,1.667428161334999
以降,2241,799,0.006945735857477591,0.011551918572709135,0.5087236077704538,1.6631669861549156
華やか,13081,4653,0.04054313732782881,0.06727293757048261,0.5063915129615276,1.6592928422514175
ドライ,7643,2717,0.023688647549621255,0.03928230633548275,0.5057782699885697,1.6582756045146534
最初,5226,1854,0.016197418826942388,0.02680507763930255,0.5037394358503489,1.6548980998574687
濃厚,7959,2821,0.024668055193959905,0.04078593528612324,0.5028282040012532,1.6533907908601517
雑味,5495,1940,0.017031155081142065,0.028048463117716797,0.49888952102475814,1.6468914165882835
前回,2345,825,0.007268072550551072,0.011927825810369257,0.49538284125940735,1.641126409706089
先日,2482,872,0.007692689155849791,0.012607350432293322,0.49400959394953314,1.6388742839955064
シュワ,4888,1715,0.015149824574453578,0.024795419714888817,0.492669994553715,1.6366803188401364
醸酒,1987,697,0.006158490472471206,0.010077205563427118,0.4924443040138133,1.6363109772553495
ジュース,2592,909,0.008033622196600587,0.013142295347425035,0.4922001725104196,1.635911550954708
匂い,2023,706,0.006270068558535104,0.010207327299540237,0.48731853613060266,1.6279450861259812
薄い,4923,1718,0.015258303269237921,0.024838793626926526,0.4872828585911063,1.6278870060869557
素晴らしい,6429,2240,0.01992598653624428,0.03238585432148744,0.4856969965125051,1.6253074477682368
時期,2790,972,0.008647301669952022,0.01405314750021687,0.4855990654501338,1.6251482874766923
重い,4025,1402,0.0124750499001996,0.020270074892288117,0.4854150135469777,1.6248492033658155
不思議,2346,817,0.007271171941830625,0.011812162044935372,0.4852122014516881,1.624519697709347
早い,2529,880,0.007838360545988767,0.012723014197727207,0.4843827966073932,1.6231728718115845
豊か,2145,744,0.006648194294640533,0.010756730185351185,0.4811863392760807,1.6179927524113975
瞬間,3515,1217,0.010894360347627726,0.01759535031662956,0.47938942454786804,1.6150879680109893
明日,2669,924,0.008272275325126146,0.013359164907613567,0.47929305804226613,1.6149323351262914
個人,8384,2899,0.0259852964877698,0.041913656999103606,0.47808085816593826,1.61297590038392
楽しみ,4679,1615,0.014502051797027064,0.023349622646965273,0.4762906805956468,1.610090970144788
後味,18119,6245,0.056157870594215294,0.09029002689182547,0.4748601679286768,1.607789361249856
多い,4479,1541,0.013882173541116524,0.02227973281670185,0.4730718849179219,1.604916748138413
大人,2003,689,0.00620808073294405,0.009961541797993233,0.47288007115294634,1.6046089325370587
切れ,19676,6767,0.060983622816478844,0.09783708758638637,0.47269837412210114,1.604317406343873
